title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
booty call (1997),2.1666666666666665,48,Pinocchio (1940),"Last of the Mohicans, The (1992)",Vertigo (1958),"River Wild, The (1994)"
bottle rocket (1996),3.4545454545454546,44,Miracle on 34th Street (1994),Amistad (1997),"Peacemaker, The (1997)","Cable Guy, The (1996)"
bound (1996),3.8217054263565893,129,"Peacemaker, The (1997)",Wag the Dog (1997),Kolya (1996),"Cable Guy, The (1996)"
boxing helena (1993),2.2,15,On Golden Pond (1981),"Saint, The (1997)",Scream 2 (1997),Arsenic and Old Lace (1944)
boy's life 2 (1997),3.3333333333333335,6,Bonnie and Clyde (1967),Die Hard 2 (1990),Dead Man Walking (1995),Quiz Show (1994)
boys (1996),3.3333333333333335,6,Crash (1996),"Ghost and the Darkness, The (1996)",Fly Away Home (1996),Rumble in the Bronx (1995)
boys life (1995),3.2,5,Secrets & Lies (1996),Executive Decision (1996),Clear and Present Danger (1994),Cinema Paradiso (1988)
boys in venice (1996),1.0,2,-,-,-,-
"boys of st. vincent, the (1993)",3.3846153846153846,13,Broken Arrow (1996),Beautiful Girls (1996),Star Trek: The Motion Picture (1979),Dante's Peak (1997)
boys on the side (1995),3.1470588235294117,34,Fly Away Home (1996),Cinema Paradiso (1988),Absolute Power (1997),"Long Kiss Goodnight, The (1996)"
"boys, les (1997)",3.3333333333333335,3,Evita (1996),"Full Monty, The (1997)",Good Will Hunting (1997),Jackie Brown (1997)
"brady bunch movie, the (1995)",2.8026315789473686,76,"Devil's Advocate, The (1997)","Remains of the Day, The (1993)","Edge, The (1997)",Mother (1996)
braindead (1992),3.857142857142857,14,101 Dalmatians (1996),My Fair Lady (1964),Face/Off (1997),"Time to Kill, A (1996)"
bram stoker's dracula (1992),3.158333333333333,120,"Crow, The (1994)",Boogie Nights (1997),"Last of the Mohicans, The (1992)","Boot, Das (1981)"
brassed off (1996),3.9375,32,Waterworld (1995),Reservoir Dogs (1992),Miracle on 34th Street (1994),"Good, The Bad and The Ugly, The (1966)"
braveheart (1995),4.151515151515151,297,"Peacemaker, The (1997)",G.I. Jane (1997),"Ghost and the Darkness, The (1996)",Ghost (1990)
brazil (1985),3.8173076923076925,208,"Fifth Element, The (1997)",Chinatown (1974),"Hudsucker Proxy, The (1994)",Heathers (1989)
bread and chocolate (pane e cioccolata) (1973),3.1666666666666665,12,Aladdin (1992),James and the Giant Peach (1996),Father of the Bride Part II (1995),Dumbo (1941)
breakdown (1997),3.4025974025974026,77,Bonnie and Clyde (1967),Searching for Bobby Fischer (1993),Strictly Ballroom (1992),Rear Window (1954)
breakfast at tiffany's (1961),3.7263157894736842,95,Wag the Dog (1997),Waterworld (1995),Rosewood (1997),On Golden Pond (1981)
breaking the waves (1996),3.72972972972973,74,"Crow, The (1994)",Alien: Resurrection (1997),In the Name of the Father (1993),Pinocchio (1940)
bride of frankenstein (1935),3.608695652173913,46,What's Eating Gilbert Grape (1993),G.I. Jane (1997),"People vs. Larry Flynt, The (1996)",Face/Off (1997)
"bridge on the river kwai, the (1957)",4.175757575757576,165,Mimic (1997),"Professional, The (1994)","Manchurian Candidate, The (1962)",True Romance (1993)
"bridges of madison county, the (1995)",3.1641791044776117,67,Little Women (1994),Amistad (1997),Kiss the Girls (1997),Crash (1996)
bringing up baby (1938),3.838235294117647,68,Mimic (1997),Rosewood (1997),Star Trek VI: The Undiscovered Country (1991),Home Alone (1990)
broken arrow (1996),3.031496062992126,254,"Rock, The (1996)","Devil's Advocate, The (1997)",Con Air (1997),"Net, The (1995)"
broken english (1996),2.25,8,"Usual Suspects, The (1995)","Long Kiss Goodnight, The (1996)","Ghost and the Darkness, The (1996)",M*A*S*H (1970)
"bronx tale, a (1993)",3.7916666666666665,48,Amistad (1997),Down Periscope (1996),Like Water For Chocolate (Como agua para chocolate) (1992),"Close Shave, A (1995)"
brother minister: the assassination of malcolm x (1994),3.0,5,"Manchurian Candidate, The (1962)",GoldenEye (1995),Nikita (La Femme Nikita) (1990),Crimson Tide (1995)
"brother's kiss, a (1997)",2.0,1,-,-,-,-
"brothers mcmullen, the (1995)",3.452054794520548,73,Clerks (1994),Tin Cup (1996),Event Horizon (1997),"Great Escape, The (1963)"
brothers in trouble (1995),4.0,1,-,-,-,-
"browning version, the (1994)",3.0,10,"Crying Game, The (1992)",Kolya (1996),Men in Black (1997),Conan the Barbarian (1981)
buddy (1997),2.25,4,"Lost World: Jurassic Park, The (1997)",Spawn (1997),Boogie Nights (1997),Good Will Hunting (1997)
bulletproof (1996),3.204081632653061,49,Fly Away Home (1996),Ulee's Gold (1997),"Adventures of Priscilla, Queen of the Desert, The (1994)",Kolya (1996)
bullets over broadway (1994),3.7209302325581395,86,"Ice Storm, The (1997)",Swingers (1996),Lost Highway (1997),Emma (1996)
burnt by the sun (1994),3.7083333333333335,24,"Peacemaker, The (1997)",101 Dalmatians (1996),"Lost World: Jurassic Park, The (1997)",Event Horizon (1997)
burnt offerings (1976),2.4444444444444446,9,"Ghost and the Darkness, The (1996)",Outbreak (1995),"Remains of the Day, The (1993)","Devil's Advocate, The (1997)"
bushwhacked (1995),1.5714285714285714,7,William Shakespeare's Romeo and Juliet (1996),What's Eating Gilbert Grape (1993),Scream 2 (1997),"Saint, The (1997)"
butch cassidy and the sundance kid (1969),3.949074074074074,216,"Sting, The (1973)",Strictly Ballroom (1992),Everyone Says I Love You (1996),"Manchurian Candidate, The (1962)"
"butcher boy, the (1998)",4.0,2,-,-,-,-
butterfly kiss (1995),1.0,1,-,-,-,-
"bye bye, love (1995)",3.1333333333333333,15,"Godfather, The (1972)",Welcome to the Dollhouse (1995),Cool Hand Luke (1967),Ulee's Gold (1997)
c'est arrivé près de chez vous (1992),3.0,4,Hoop Dreams (1994),Dances with Wolves (1990),Dead Poets Society (1989),Die Hard: With a Vengeance (1995)
cabin boy (1994),2.5625,16,Bonnie and Clyde (1967),My Fair Lady (1964),Jungle2Jungle (1997),"Great Escape, The (1963)"
"cable guy, the (1996)",2.339622641509434,106,"Ice Storm, The (1997)","Manchurian Candidate, The (1962)",Some Like It Hot (1959),Cold Comfort Farm (1995)
calendar girl (1993),2.0,3,Alien (1979),Aliens (1986),Hoop Dreams (1994),Schindler's List (1993)
canadian bacon (1994),2.413793103448276,29,Ulee's Gold (1997),12 Angry Men (1957),James and the Giant Peach (1996),Welcome to the Dollhouse (1995)
"candidate, the (1972)",3.641025641025641,39,Spawn (1997),"Devil's Advocate, The (1997)",Real Genius (1985),Mother (1996)
candyman (1992),2.723076923076923,65,Donnie Brasco (1997),"Craft, The (1996)","Peacemaker, The (1997)",Ulee's Gold (1997)
candyman: farewell to the flesh (1995),2.4285714285714284,21,Mr. Smith Goes to Washington (1939),Emma (1996),On Golden Pond (1981),"Peacemaker, The (1997)"
cape fear (1962),3.5232558139534884,86,Dante's Peak (1997),Snow White and the Seven Dwarfs (1937),"Frighteners, The (1996)","Time to Kill, A (1996)"
cape fear (1991),3.456140350877193,171,"Devil's Advocate, The (1997)",My Best Friend's Wedding (1997),Interview with the Vampire (1994),"Craft, The (1996)"
captives (1994),2.3333333333333335,3,"Edge, The (1997)",Lost Highway (1997),Lone Star (1996),Mystery Science Theater 3000: The Movie (1996)
career girls (1997),3.2564102564102564,39,Stargate (1994),Star Trek: The Motion Picture (1979),Under Siege (1992),Apocalypse Now (1979)
careful (1992),1.0,1,-,-,-,-
carlito's way (1993),3.4074074074074074,54,Jungle2Jungle (1997),Batman (1989),Sense and Sensibility (1995),Under Siege (1992)
carmen miranda: bananas is my business (1994),1.5,2,Babe (1995),Butch Cassidy and the Sundance Kid (1969),"Deer Hunter, The (1978)","Last of the Mohicans, The (1992)"
caro diario (dear diary) (1994),2.75,4,Beauty and the Beast (1991),Secrets & Lies (1996),Bonnie and Clyde (1967),Snow White and the Seven Dwarfs (1937)
carpool (1996),2.8,5,"Empire Strikes Back, The (1980)",Aliens (1986),Cinderella (1950),Apollo 13 (1995)
carrie (1976),3.5041322314049586,121,Kolya (1996),Welcome to the Dollhouse (1995),Alien: Resurrection (1997),Arsenic and Old Lace (1944)
carried away (1996),3.0,11,As Good As It Gets (1997),Lawrence of Arabia (1962),"Close Shave, A (1995)","Good, The Bad and The Ugly, The (1966)"
carrington (1995),3.230769230769231,13,Real Genius (1985),"Rainmaker, The (1997)",Star Trek III: The Search for Spock (1984),George of the Jungle (1997)
casablanca (1942),4.45679012345679,243,"Maltese Falcon, The (1941)",Shine (1996),"African Queen, The (1951)",Austin Powers: International Man of Mystery (1997)
casino (1995),3.6483516483516483,91,"Ice Storm, The (1997)","Hunchback of Notre Dame, The (1996)",Patton (1970),"Wrong Trousers, The (1993)"
casper (1995),3.076923076923077,52,"Lost World: Jurassic Park, The (1997)",Spawn (1997),L.A. Confidential (1997),Casablanca (1942)
castle freak (1995),1.25,4,Army of Darkness (1993),Twelve Monkeys (1995),Alien (1979),Titanic (1997)
cat people (1982),2.8958333333333335,48,Ulee's Gold (1997),Michael (1996),Tombstone (1993),Everyone Says I Love You (1996)
cat on a hot tin roof (1958),3.9516129032258065,62,Rosewood (1997),Star Trek: Generations (1994),Beavis and Butt-head Do America (1996),Batman Forever (1995)
cats don't dance (1997),2.84375,32,Down Periscope (1996),"Crying Game, The (1992)","Clockwork Orange, A (1971)",Philadelphia (1993)
catwalk (1995),1.3333333333333333,3,Big Night (1996),Secrets & Lies (1996),Trainspotting (1996),Cinema Paradiso (1988)
caught (1996),3.25,8,"Devil's Own, The (1997)",George of the Jungle (1997),Event Horizon (1997),"Edge, The (1997)"
celestial clockwork (1994),4.0,2,-,-,-,-
"celluloid closet, the (1995)",3.892857142857143,56,Highlander (1986),Alien: Resurrection (1997),"Remains of the Day, The (1993)",Courage Under Fire (1996)
celtic pride (1996),2.2,15,Everyone Says I Love You (1996),Crash (1996),"Sex, Lies, and Videotape (1989)",Ben-Hur (1959)
"cement garden, the (1993)",3.6,10,"Silence of the Lambs, The (1991)","Devil's Advocate, The (1997)",Indiana Jones and the Last Crusade (1989),Kingpin (1996)
cemetery man (dellamorte dellamore) (1994),2.869565217391304,23,"Philadelphia Story, The (1940)","Sex, Lies, and Videotape (1989)",Bonnie and Clyde (1967),"African Queen, The (1951)"
century (1993),3.0,1,-,-,-,-
chain reaction (1996),2.7,80,Jungle2Jungle (1997),Strictly Ballroom (1992),"Ice Storm, The (1997)",Absolute Power (1997)
chairman of the board (1998),2.2222222222222223,9,Broken Arrow (1996),Alien: Resurrection (1997),Cop Land (1997),Kolya (1996)
"chamber, the (1996)",3.0930232558139537,43,Scream 2 (1997),G.I. Jane (1997),"Long Kiss Goodnight, The (1996)",Seven Years in Tibet (1997)
charade (1963),3.925,40,Mimic (1997),Beautiful Girls (1996),Rosewood (1997),"Game, The (1997)"
chasers (1994),2.2,5,Young Frankenstein (1974),Field of Dreams (1989),Star Trek III: The Search for Spock (1984),Independence Day (ID4) (1996)
chasing amy (1997),3.8390501319261214,379,Hoop Dreams (1994),"Frighteners, The (1996)","Hunchback of Notre Dame, The (1996)",Mars Attacks! (1996)
children of the corn: the gathering (1996),1.3157894736842106,19,Donnie Brasco (1997),Jackie Brown (1997),Grumpier Old Men (1995),On Golden Pond (1981)
children of the revolution (1996),3.2,5,Ulee's Gold (1997),Tomorrow Never Dies (1997),Boogie Nights (1997),Lost Highway (1997)
chinatown (1974),4.136054421768708,147,"Sex, Lies, and Videotape (1989)",Pinocchio (1940),Bonnie and Clyde (1967),Donnie Brasco (1997)
"christmas carol, a (1938)",4.057971014492754,69,Kolya (1996),"Wrong Trousers, The (1993)",Alien: Resurrection (1997),Ulee's Gold (1997)
chungking express (1994),3.5714285714285716,28,Tombstone (1993),Pinocchio (1940),Outbreak (1995),Father of the Bride Part II (1995)
"ciao, professore! (1993)",2.75,4,Bound (1996),Mrs. Doubtfire (1993),"Right Stuff, The (1983)",Batman (1989)
cinderella (1950),3.5813953488372094,129,Miracle on 34th Street (1994),"Nutty Professor, The (1996)",Donnie Brasco (1997),Arsenic and Old Lace (1944)
cinema paradiso (1988),4.1735537190082646,121,Tombstone (1993),Fried Green Tomatoes (1991),"Wrong Trousers, The (1993)",Rosewood (1997)
circle of friends (1995),3.486842105263158,76,Cinema Paradiso (1988),Bonnie and Clyde (1967),Ulee's Gold (1997),Cool Hand Luke (1967)
citizen kane (1941),4.292929292929293,198,Chinatown (1974),My Left Foot (1989),"Nutty Professor, The (1996)","Crying Game, The (1992)"
citizen ruth (1996),3.6222222222222222,45,Die Hard: With a Vengeance (1995),Murder at 1600 (1997),Fly Away Home (1996),Mary Poppins (1964)
city hall (1996),3.1392405063291138,79,Kolya (1996),Dragonheart (1996),"Killing Fields, The (1984)",Harold and Maude (1971)
city slickers ii: the legend of curly's gold (1994),2.5454545454545454,44,"Peacemaker, The (1997)",As Good As It Gets (1997),Cold Comfort Farm (1995),Young Guns (1988)
city of angels (1998),3.0,8,Cool Hand Luke (1967),Ben-Hur (1959),"Manchurian Candidate, The (1962)",Crash (1996)
city of industry (1997),2.5,6,Welcome to the Dollhouse (1995),That Thing You Do! (1996),Kingpin (1996),"Shawshank Redemption, The (1994)"
"city of lost children, the (1995)",3.7916666666666665,96,Fly Away Home (1996),Platoon (1986),Big Night (1996),"Rainmaker, The (1997)"
clean slate (1994),2.8,10,"Killing Fields, The (1984)","Good, The Bad and The Ugly, The (1966)",Chinatown (1974),Ulee's Gold (1997)
clean slate (coup de torchon) (1981),2.75,4,Dances with Wolves (1990),Star Trek VI: The Undiscovered Country (1991),Some Like It Hot (1959),Chinatown (1974)
clear and present danger (1994),3.569832402234637,179,In the Line of Fire (1993),GoldenEye (1995),Absolute Power (1997),True Lies (1994)
clerks (1994),3.804054054054054,148,"Magnificent Seven, The (1954)",12 Angry Men (1957),Ben-Hur (1959),Boogie Nights (1997)
"client, the (1994)",3.381443298969072,97,Amistad (1997),Young Guns (1988),"Nightmare on Elm Street, A (1984)",Arsenic and Old Lace (1944)
cliffhanger (1993),3.021505376344086,93,Ulee's Gold (1997),Star Trek: Generations (1994),"Great Escape, The (1963)",Clueless (1995)
clockers (1995),3.0,33,Seven Years in Tibet (1997),"Magnificent Seven, The (1954)",Some Like It Hot (1959),Alien: Resurrection (1997)
"clockwork orange, a (1971)",3.909502262443439,221,Boogie Nights (1997),True Romance (1993),Event Horizon (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"close shave, a (1995)",4.491071428571429,112,"Devil's Advocate, The (1997)","Rainmaker, The (1997)",Ulee's Gold (1997),Jackie Chan's First Strike (1996)
clueless (1995),3.458823529411765,170,My Best Friend's Wedding (1997),Under Siege (1992),Bound (1996),Alien: Resurrection (1997)
cobb (1994),2.8,15,Chasing Amy (1997),Rosewood (1997),One Fine Day (1996),"Postino, Il (1994)"
cold comfort farm (1995),3.824,125,Kiss the Girls (1997),Lone Star (1996),What's Eating Gilbert Grape (1993),My Left Foot (1989)
coldblooded (1995),2.0,1,-,-,-,-
"collectionneuse, la (1967)",2.0,2,Ulee's Gold (1997),"Remains of the Day, The (1993)","Boot, Das (1981)",Bonnie and Clyde (1967)
"colonel chabert, le (1994)",3.5,4,Conan the Barbarian (1981),"Clockwork Orange, A (1971)",True Lies (1994),Indiana Jones and the Last Crusade (1989)
color of night (1994),2.7333333333333334,15,"Great Escape, The (1963)",Seven Years in Tibet (1997),Searching for Bobby Fischer (1993),Rosewood (1997)
commandments (1997),2.6666666666666665,3,Star Wars (1977),Grosse Pointe Blank (1997),Fly Away Home (1996),In & Out (1997)
con air (1997),3.45985401459854,137,"Rainmaker, The (1997)",My Left Foot (1989),"Philadelphia Story, The (1940)",Ghost (1990)
conan the barbarian (1981),3.046728971962617,107,Big Night (1996),Jackie Brown (1997),My Best Friend's Wedding (1997),Welcome to the Dollhouse (1995)
condition red (1995),2.0,2,Die Hard 2 (1990),True Lies (1994),Searching for Bobby Fischer (1993),"Professional, The (1994)"
coneheads (1993),2.2195121951219514,41,"Rainmaker, The (1997)",Alien: Resurrection (1997),North by Northwest (1959),Murder at 1600 (1997)
congo (1995),2.4523809523809526,42,"Sex, Lies, and Videotape (1989)",My Best Friend's Wedding (1997),Cold Comfort Farm (1995),Michael (1996)
conspiracy theory (1997),3.4237288135593222,295,Outbreak (1995),Real Genius (1985),"River Wild, The (1994)",Batman Forever (1995)
contact (1997),3.8035363457760316,509,Philadelphia (1993),"Mask, The (1994)",Young Guns (1988),Sling Blade (1996)
"contempt (mépris, le) (1963)",3.0,9,Shine (1996),"Saint, The (1997)",Quiz Show (1994),"Peacemaker, The (1997)"
"convent, the (convento, o) (1995)",2.5,2,"English Patient, The (1996)",Fargo (1996),Leaving Las Vegas (1995),Mighty Aphrodite (1995)
"cook the thief his wife & her lover, the (1989)",3.024390243902439,82,Mother (1996),"Fifth Element, The (1997)","Long Kiss Goodnight, The (1996)",One Fine Day (1996)
cool hand luke (1967),3.9939024390243905,164,Absolute Power (1997),Rumble in the Bronx (1995),Ulee's Gold (1997),Searching for Bobby Fischer (1993)
cool runnings (1993),3.161764705882353,68,"Ice Storm, The (1997)","Magnificent Seven, The (1954)",Cinema Paradiso (1988),Henry V (1989)
cop land (1997),3.3771428571428572,175,Ben-Hur (1959),"Deer Hunter, The (1978)",Star Trek IV: The Voyage Home (1986),"Craft, The (1996)"
cops and robbersons (1994),2.3076923076923075,13,"Devil's Advocate, The (1997)",Rear Window (1954),Mr. Smith Goes to Washington (1939),"River Wild, The (1994)"
copycat (1995),3.302325581395349,86,Fly Away Home (1996),Air Force One (1997),Volcano (1997),"River Wild, The (1994)"
"corrina, corrina (1994)",3.1538461538461537,39,"Ice Storm, The (1997)",Amistad (1997),Jackie Brown (1997),My Best Friend's Wedding (1997)
cosi (1996),4.0,4,Star Wars (1977),Return of the Jedi (1983),"Long Kiss Goodnight, The (1996)",Everyone Says I Love You (1996)
country life (1994),1.5,2,Interview with the Vampire (1994),While You Were Sleeping (1995),Taxi Driver (1976),"Net, The (1995)"
courage under fire (1996),3.6108597285067874,221,Nikita (La Femme Nikita) (1990),Kolya (1996),"Manchurian Candidate, The (1962)","Frighteners, The (1996)"
"cowboy way, the (1994)",2.210526315789474,19,Alien: Resurrection (1997),Cold Comfort Farm (1995),Lone Star (1996),Crash (1996)
